ticker,corp_name,sector,industry,Close,Volume
COF,Capital One,Financials,Consumer Finance,106.220001,1805600.0
COF,Capital One,Financials,Consumer Finance,106.220001,1805600.0
CAH,Cardinal Health,Health Care,Health Care Distributors,92.290001,3132400.0
CAH,Cardinal Health,Health Care,Health Care Distributors,92.290001,3132400.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,81.25,4005100.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,81.25,4005100.0
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",14.6,106808100.0
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",14.6,106808100.0
CARR,Carrier Global,Industrials,Building Products,48.630001,5073200.0
CARR,Carrier Global,Industrials,Building Products,48.630001,5073200.0
CTLT,Catalent,Health Care,Pharmaceuticals,43.82,2283000.0
CTLT,Catalent,Health Care,Pharmaceuticals,43.82,2283000.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,236.949997,1747400.0
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,236.949997,1747400.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,133.75,391500.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,133.75,391500.0
CBRE,CBRE Group,Real Estate,Real Estate Services,75.559998,2116000.0
CBRE,CBRE Group,Real Estate,Real Estate Services,75.559998,2116000.0
CDW,CDW,Information Technology,Technology Distributors,176.919998,906900.0
CDW,CDW,Information Technology,Technology Distributors,176.919998,906900.0
CE,Celanese,Materials,Specialty Chemicals,111.080002,1250000.0
CE,Celanese,Materials,Specialty Chemicals,111.080002,1250000.0
CNC,Centene Corporation,Health Care,Managed Health Care,66.360001,1753700.0
CNC,Centene Corporation,Health Care,Managed Health Care,66.360001,1753700.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,28.92,2349900.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,28.92,2349900.0
CDAY,Ceridian,Information Technology,Application Software,64.269997,711100.0
CDAY,Ceridian,Information Technology,Application Software,64.269997,711100.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,70.019997,1718600.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,70.019997,1718600.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,206.300003,352200.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,206.300003,352200.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,53.41,10129200.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,53.41,10129200.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,336.880005,1227700.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,336.880005,1227700.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,154.009995,7368600.0
