년,월,corp_name,종가,거래량,날짜
2023,1,남양유업,463951.25,2872.8,2023-01-01
2023,1,남양유업우,240896.45,669.05,2023-01-01
2023,1,남해화학,8755.5,148675.1,2023-01-01
2023,1,넥센,3987.75,8727.65,2023-01-01
2023,1,넥센우,3217.5,431.95,2023-01-01
2023,1,넥센타이어,6405.0,142506.2,2023-01-01
2023,1,넥센타이어1우B,2731.5,4594.8,2023-01-01
2023,1,넷마블,56690.0,453229.3,2023-01-01
2023,1,노루페인트,7901.5,125237.7,2023-01-01
2023,1,노루페인트우,15198.0,1549.0,2023-01-01
2023,1,노루홀딩스,10149.5,16987.0,2023-01-01
2023,1,노루홀딩스우,22620.0,4925.05,2023-01-01
2023,1,녹십자,128625.0,23410.45,2023-01-01
2023,1,녹십자홀딩스,16745.0,61917.75,2023-01-01
2023,1,녹십자홀딩스2우,33327.5,1602.05,2023-01-01
2023,1,농심,343925.0,20325.9,2023-01-01
2023,1,농심홀딩스,66915.0,1308.65,2023-01-01
2023,1,다스코,4822.75,213026.6,2023-01-01
2023,1,다올투자증권,3078.25,1098198.9,2023-01-01
2023,1,다우기술,21245.0,192575.95,2023-01-01
2023,1,다이나믹디자인,3540.75,1077259.55,2023-01-01
2023,1,대교,2687.0,29020.55,2023-01-01
2023,1,대교우B,1766.25,24588.15,2023-01-01
2023,1,대구백화점,9884.5,14403.65,2023-01-01
2023,1,대덕,6411.0,57762.5,2023-01-01
2023,1,대덕1우,9432.5,879.0,2023-01-01
2023,1,대덕전자,20720.0,480951.6,2023-01-01
2023,1,대덕전자1우,10201.5,4926.2,2023-01-01
2023,1,대동,12562.5,417162.65,2023-01-01
2023,1,대동전자,9683.0,34911.95,2023-01-01
2023,1,대림B&Co,3880.75,18821.55,2023-01-01
2023,1,대림통상,3772.75,4212.9,2023-01-01
2023,1,대상,21177.5,85154.1,2023-01-01
2023,1,대상우,15832.5,2046.05,2023-01-01
2023,1,대상홀딩스,7711.0,24039.2,2023-01-01
2023,1,대상홀딩스우,9116.5,2632.3,2023-01-01
2023,1,대성산업,4115.5,206038.45,2023-01-01
2023,1,대성에너지,9322.5,931050.75,2023-01-01
2023,1,대성홀딩스,114590.0,54449.05,2023-01-01
2023,1,대신증권,12873.0,69135.9,2023-01-01
2023,1,대신증권2우B,11499.5,14349.25,2023-01-01
2023,1,대신증권우,11827.0,40068.6,2023-01-01
2023,1,대양금속,3181.5,198207.65,2023-01-01
2023,1,대영포장,1573.1,247057.25,2023-01-01
2023,1,대우건설,4504.0,1606270.85,2023-01-01
2023,1,대우부품,1480.8,77140.05,2023-01-01
2023,1,대웅,19795.0,52999.45,2023-01-01
2023,1,대웅제약,149105.0,59121.3,2023-01-01
2023,1,대원강업,3191.5,87246.4,2023-01-01
2023,1,대원전선,1137.7,199418.05,2023-01-01
2023,1,대원전선우,2472.0,6048.9,2023-01-01
2023,1,대원제약,17069.5,281707.15,2023-01-01
2023,1,대원화성,2353.75,258640.35,2023-01-01
2023,1,대유에이텍,714.95,258223.8,2023-01-01
2023,1,대유플러스,762.65,253645.95,2023-01-01
2023,1,대창,1264.2,664178.25,2023-01-01
2023,1,대창단조,7357.5,487038.1,2023-01-01
2023,1,대한방직,51920.0,6953.95,2023-01-01
2023,1,대한유화,173795.0,68519.6,2023-01-01
2023,1,대한전선,15557.5,5173853.75,2023-01-01
2023,1,대한제강,11240.5,39402.3,2023-01-01
2023,1,대한제당,2692.5,174601.1,2023-01-01
2023,1,대한제당우,2431.25,85179.25,2023-01-01
2023,1,대한제분,143830.0,2142.9,2023-01-01
2023,1,대한항공,23940.0,1166279.0,2023-01-01
2023,1,대한항공우,30892.5,3471.3,2023-01-01
2023,1,대한해운,2134.0,1285120.35,2023-01-01
2023,1,대한화섬,120140.0,1138.1,2023-01-01
2023,1,대현,2249.0,128506.65,2023-01-01
2023,1,대호에이엘,1340.85,434706.65,2023-01-01
2023,1,더메디팜,544.75,237599.3,2023-01-01
2023,1,더블유게임즈,47987.5,36943.85,2023-01-01
2023,1,더존비즈온,35622.5,88458.7,2023-01-01
2023,1,덕성,5259.0,97411.35,2023-01-01
2023,1,덕성우,6112.5,16206.75,2023-01-01
2023,1,덕양산업,2538.0,31187.75,2023-01-01
2023,1,덴티움,100115.0,148383.65,2023-01-01
2023,1,도화엔지니어링,8633.5,342311.05,2023-01-01
2023,1,동국홀딩스,10847.05,332495.55,2023-01-01
2023,1,동남합성,52135.0,780.8,2023-01-01
2023,1,동방,2608.0,547175.5,2023-01-01
2023,1,동방아그로,6370.5,12797.5,2023-01-01
2023,1,동부건설,7208.5,192735.15,2023-01-01
2023,1,동부건설우,32142.5,15584.75,2023-01-01
2023,1,동서,19760.0,57780.7,2023-01-01
2023,1,동성제약,6503.5,208608.8,2023-01-01
2023,1,동성케미컬,4523.25,43053.8,2023-01-01
2023,1,동아쏘시오홀딩스,99540.0,4944.3,2023-01-01
2023,1,동아에스티,61830.0,11079.7,2023-01-01
2023,1,동아지질,12493.0,21122.15,2023-01-01
2023,1,동아타이어,11429.0,14515.25,2023-01-01
2023,1,동양,1046.55,321373.7,2023-01-01
2023,1,동양2우B,13099.0,1337.05,2023-01-01
2023,1,동양고속,13800.0,829.55,2023-01-01
2023,1,동양생명,4706.0,137327.4,2023-01-01
2023,1,동양우,6496.5,1476.45,2023-01-01
2023,1,동양철관,986.75,2820176.1,2023-01-01
2023,1,동양피스톤,4928.5,110488.15,2023-01-01
2023,1,동원F&B,31730.45,2917.45,2023-01-01
2023,1,동원금속,1008.7,198492.65,2023-01-01
2023,1,동원산업,48030.0,31183.35,2023-01-01
2023,1,동원수산,9065.5,33950.1,2023-01-01
2023,1,동원시스템즈,40645.0,20483.9,2023-01-01
2023,1,동원시스템즈우,29717.5,114.1,2023-01-01
2023,1,동일고무벨트,6156.0,21680.25,2023-01-01
2023,1,동일산업,193725.0,6692.3,2023-01-01
2023,1,동일제강,2138.5,38519.45,2023-01-01
2023,1,동화약품,9323.0,86513.45,2023-01-01
2023,1,두산,87810.0,141868.0,2023-01-01
2023,1,두산2우B,82880.0,307.45,2023-01-01
2023,1,두산밥캣,34537.5,217674.8,2023-01-01
2023,1,두산에너빌리티,16144.5,4028820.45,2023-01-01
2023,1,두산우,49407.5,2164.9,2023-01-01
2023,1,두산퓨얼셀,32050.0,338632.65,2023-01-01
2023,1,두산퓨얼셀1우,9751.0,19199.3,2023-01-01
2023,1,두산퓨얼셀2우B,12356.0,4881.6,2023-01-01
2023,1,두올,2479.75,49637.3,2023-01-01
2023,1,드림텍,9268.0,217369.45,2023-01-01
2023,1,디씨엠,13265.0,11984.75,2023-01-01
2023,1,디아이,5020.5,55421.1,2023-01-01
2023,1,디아이씨,3696.5,156232.0,2023-01-01
2023,1,디앤디플랫폼리츠,3694.75,130532.7,2023-01-01
2023,1,디와이,5591.0,117696.55,2023-01-01
2023,1,디와이파워,11652.5,75902.05,2023-01-01
2023,1,락앤락,6500.5,36461.3,2023-01-01
2023,1,롯데관광개발,14060.5,945572.65,2023-01-01
2023,1,롯데렌탈,26955.0,39262.85,2023-01-01
2023,1,롯데리츠,4107.5,282556.35,2023-01-01
2023,1,롯데손해보험,1507.35,109977.45,2023-01-01
2023,1,롯데쇼핑,96720.0,60171.35,2023-01-01
2023,1,롯데에너지머티리얼즈,58120.0,230918.25,2023-01-01
2023,1,롯데웰푸드,117185.0,8903.8,2023-01-01
2023,1,롯데정밀화학,55665.0,54042.8,2023-01-01
2023,1,롯데정보통신,25467.5,52004.3,2023-01-01
2023,1,롯데지주,32090.0,119651.05,2023-01-01
2023,1,롯데지주우,42685.0,363.9,2023-01-01
2023,1,롯데칠성,163070.0,38736.2,2023-01-01
2023,1,롯데칠성우,72605.0,967.95,2023-01-01
2023,1,롯데케미칼,181205.0,143277.15,2023-01-01
2023,1,롯데하이마트,12698.5,31918.25,2023-01-01
2023,1,마니커,1240.0,213704.9,2023-01-01
2023,1,마스턴프리미어리츠,3928.0,50184.75,2023-01-01
2023,1,만호제강,33610.0,7072.1,2023-01-01
2023,1,맥쿼리인프라,11548.5,573673.35,2023-01-01
2023,1,맵스리얼티1,4154.5,28968.4,2023-01-01
2023,1,메리츠금융지주,42757.5,722876.65,2023-01-01
2023,1,메타랩스,3221.5,2007870.7,2023-01-01
2023,1,명문제약,2882.5,249865.9,2023-01-01
2023,1,명신산업,15607.0,283118.55,2023-01-01
